urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:35	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἡγεμονικῶς[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:36	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@σφόδρα[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:37	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@νουθετήσας[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:38	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τοὺς[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:39	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τὸ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:40	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φύσει[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:41	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φιλητικὸν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:42	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἐν[3]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:43	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἡμῖν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:44	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καὶ[3]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:45	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φιλόστοργον[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:46	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@εἰς[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:47	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@θηρία[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:48	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καταναλίσκοντας[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:49	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@,[3]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:50	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἀνθρώποις[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:51	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ὀφειλόμενον[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:52	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@.[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:53	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἆρ'[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:54	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@οὖν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:55	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:56	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἐπεὶ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:57	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@κυνῶν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:58	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τε[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:59	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:60	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πιθήκων[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:61	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἔκγονα[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:62	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φιλομαθές[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:63	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τι[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:64	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@κέκτηται[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:65	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[2]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:66	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φιλοθέαμον[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:67	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἡμῶν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:68	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἡ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:69	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ψυχὴ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:70	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φύσει[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:71	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[2]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:72	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@λόγον[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:73	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἔχει[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:74	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ψέγειν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:75	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τοὺς[1]
