urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:0	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:1	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:2	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:3	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:4	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:5	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:6	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:7	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:8	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:9	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:10	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:11	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:12	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:13	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:14	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:15	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:16	urn:cite2:fufolio:tokenTypes.v1:word
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:17	urn:cite2:fufolio:tokenTypes.v1:word
